image_id,page_id,image_src,image_alt,is_external
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_14,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_15,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_16,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/img-practice/prod/courses/221/Web/Content/cpp_1723009538.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_17,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/img-practice/prod/courses/270/Web/Content/CourseJavaProgrammin_1716371938.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_18,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/gfgFooterLogo.png,GeeksforGeeks,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_19,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/img-practice/Location-1685004904.svg,location,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_20,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/googleplay-%281%29.png,GFG App on Play Store,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_21,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/appstore-%281%29.png,GFG App on App Store,True,2026-02-16T17:48:59.888523+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_1,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/gfg-gg-logo.svg,geeksforgeeks,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_2,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-3.svg,three90 challenge,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_3,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-6.svg,step icon,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_4,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/Vectors.svg,arrow,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_5,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/Rectangle.svg,step icon,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_6,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-41.svg,step icon,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_7,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/file3.svg,Mentor,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_8,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823.svg,Personalized Feed,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_9,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-10000018241.svg,Interview Experiences,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_10,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-7.svg,Job Openings & Updates,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_11,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-8.svg,Internship Opportunities,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_12,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/wp-content/uploads/20250929101624249259/tech_interview.webp,course-img,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_13,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/wp-content/uploads/20251119100432783088/JBDL1.webp,course-img,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_14,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_15,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_16,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/img-practice/prod/courses/221/Web/Content/cpp_1723009538.webp,course-img,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_17,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/img-practice/prod/courses/270/Web/Content/CourseJavaProgrammin_1716371938.webp,course-img,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_18,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/gfgFooterLogo.png,GeeksforGeeks,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_19,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/img-practice/Location-1685004904.svg,location,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_20,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/googleplay-%281%29.png,GFG App on Play Store,True,2026-02-16T17:55:13.653527+00:00
9b8161c1-7d2f-4041-bd78-688a75e4b6ae_img_21,9b8161c1-7d2f-4041-bd78-688a75e4b6ae,https://media.geeksforgeeks.org/auth-dashboard-uploads/appstore-%281%29.png,GFG App on App Store,True,2026-02-16T17:55:13.653527+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_1,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/gfg-gg-logo.svg,geeksforgeeks,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_2,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-3.svg,three90 challenge,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_3,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-6.svg,step icon,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_4,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Vectors.svg,arrow,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_5,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Rectangle.svg,step icon,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_6,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-41.svg,step icon,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_7,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/file3.svg,Mentor,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_8,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823.svg,Personalized Feed,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_9,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-10000018241.svg,Interview Experiences,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_10,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-7.svg,Job Openings & Updates,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_11,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-8.svg,Internship Opportunities,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_12,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/wp-content/uploads/20250929101624249259/tech_interview.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_13,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/wp-content/uploads/20251119100432783088/JBDL1.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_14,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_15,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_16,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/img-practice/prod/courses/221/Web/Content/cpp_1723009538.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_17,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/img-practice/prod/courses/270/Web/Content/CourseJavaProgrammin_1716371938.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_18,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/gfgFooterLogo.png,GeeksforGeeks,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_19,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/img-practice/Location-1685004904.svg,location,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_20,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/googleplay-%281%29.png,GFG App on Play Store,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_21,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/appstore-%281%29.png,GFG App on App Store,True,2026-02-16T17:56:33.823459+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_1,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/gfg-gg-logo.svg,geeksforgeeks,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_2,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-3.svg,three90 challenge,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_3,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-6.svg,step icon,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_4,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/Vectors.svg,arrow,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_5,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/Rectangle.svg,step icon,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_6,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-41.svg,step icon,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_7,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/file3.svg,Mentor,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_8,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823.svg,Personalized Feed,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_9,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-10000018241.svg,Interview Experiences,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_10,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-7.svg,Job Openings & Updates,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_11,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-8.svg,Internship Opportunities,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_12,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/wp-content/uploads/20250929101624249259/tech_interview.webp,course-img,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_13,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/wp-content/uploads/20251119100432783088/JBDL1.webp,course-img,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_14,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_15,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_16,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/img-practice/prod/courses/221/Web/Content/cpp_1723009538.webp,course-img,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_17,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/img-practice/prod/courses/270/Web/Content/CourseJavaProgrammin_1716371938.webp,course-img,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_18,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/gfgFooterLogo.png,GeeksforGeeks,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_19,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/img-practice/Location-1685004904.svg,location,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_20,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/googleplay-%281%29.png,GFG App on Play Store,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e_img_21,b70bc479-38cc-4d10-9f43-d7f25d7ff60e,https://media.geeksforgeeks.org/auth-dashboard-uploads/appstore-%281%29.png,GFG App on App Store,True,2026-02-16T18:13:46.662213+00:00
